userId,movieId,rating
2,10,4.0
2,47,4.0
2,110,4.0
2,161,3.0
2,208,3.0
2,253,4.0
2,265,5.0
2,367,3.0
2,377,3.0
2,410,3.0
2,527,4.0
2,537,4.0
2,585,5.0
2,586,3.0
2,720,4.0
3,110,4.0
3,377,2.5
3,527,3.0
3,736,3.5
3,1721,4.5
3,2513,3.0
3,2858,4.0
3,2959,5.0
3,6377,3.0
3,7361,3.0
4,367,4.0
4,435,1.0
4,616,5.0
4,913,5.0
4,1011,4.0
4,1031,5.0
4,1079,5.0
4,1089,5.0
4,1097,5.0
4,1125,5.0
4,1127,5.0
4,1136,5.0
4,1265,5.0
4,1282,5.0
4,1334,5.0
4,1380,5.0
4,1388,4.0
4,1961,5.0
4,1968,5.0
4,1994,5.0
4,2014,4.0
4,2046,5.0
4,2078,5.0
4,2080,5.0
4,2085,5.0
4,2086,5.0
4,2094,4.0
4,2096,5.0
4,2109,5.0
4,2110,3.0
4,2124,4.0
4,2403,4.0
4,2683,4.0
4,2872,5.0
4,3071,4.0
4,3255,4.0
5,3,4.0
5,367,4.0
5,377,4.0
5,1221,2.5
5,1247,4.0
5,1307,4.0
5,1380,5.0
5,1544,3.5
5,1682,4.0
5,1721,4.0
5,1784,4.5
5,1961,4.0
5,1968,4.0
5,2355,3.5
5,2424,4.0
5,2918,3.5
5,3176,3.5
5,4306,3.5
5,5266,3.5
5,5679,4.5
5,6373,4.0
5,8636,4.5
6,111,4.0
6,158,2.0
6,293,5.0
6,1876,0.5
6,2528,3.0
6,2571,1.0
6,2692,4.0
6,2761,4.5
6,3300,3.5
6,3751,1.5
6,7090,3.0
6,7361,4.0
6,8368,3.5
6,8636,4.0
7,10,3.0
7,21,3.0
7,110,5.0
7,345,3.0
7,367,3.0
7,377,3.0
7,534,4.0
7,551,4.0
7,720,5.0
7,724,2.0
7,736,1.0
7,737,1.0
7,786,2.0
7,1073,3.0
7,1079,4.0
7,1097,3.0
7,1125,3.0
7,1198,5.0
7,1231,4.0
7,1240,4.0
7,1242,5.0
7,1307,3.0
8,110,4.0
8,520,3.5
8,527,5.0
8,1198,4.0
8,1265,3.0
8,1393,3.0
8,1625,5.0
8,1704,4.0
8,1876,3.5
8,2302,4.5
8,2324,4.0
8,2329,5.0
8,2423,3.5
8,2571,5.0
8,2858,4.5
8,3578,5.0
8,4262,4.0
8,5064,5.0
8,5445,4.5
8,6377,4.0
8,6378,3.0
8,6870,4.0
8,7361,4.0
8,7438,4.0
8,8533,2.5
9,47,3.0
9,527,5.0
9,1177,3.0
9,1357,4.0
9,1541,2.0
9,1680,4.0
9,1682,5.0
9,1704,4.0
9,1721,3.0
9,1784,5.0
9,2125,4.0
9,2273,3.0
9,2278,4.0
9,2302,4.0
9,2427,2.0
9,2571,5.0
10,344,3.0
10,735,4.0
10,1101,2.0
10,1127,4.0
10,1240,4.0
10,1459,3.0
10,1704,4.0
10,1719,5.0
10,2108,3.0
10,2571,5.0
10,2840,3.0
10,2995,2.0
10,3005,3.0
12,253,3.0
12,538,3.0
12,736,4.0
12,737,3.0
12,1077,3.0
12,2259,2.0
12,2355,2.0
12,2959,4.0
12,3148,1.0
12,3176,3.0
12,3179,2.0
12,3324,1.0
12,3780,2.0
12,3794,3.0
12,3799,1.0
12,3809,3.0
12,3885,3.0
12,6184,4.0
13,47,2.5
13,110,4.0
13,1961,4.0
13,2355,4.0
13,2571,3.0
13,2761,4.0
13,3147,4.0
13,3255,3.5
13,4306,4.0
14,1721,3.0
14,2355,2.0
14,3354,3.0
14,3751,4.0
14,3986,3.0
15,2,2.0
15,10,3.0
15,11,2.5
15,14,2.5
15,21,4.5
15,47,5.0
15,107,2.0
15,110,3.0
15,111,5.0
15,161,3.0
15,164,4.0
15,172,1.0
15,175,4.0
15,225,1.0
15,230,1.0
15,237,3.5
15,253,2.0
15,265,1.0
15,293,5.0
15,316,3.0
15,322,2.5
15,342,3.0
15,367,2.0
15,377,4.0
15,435,1.0
15,483,1.0
15,520,3.5
15,527,4.0
15,540,1.5
15,551,2.0
15,586,2.0
15,610,3.0
15,647,1.5
15,733,3.5
15,736,1.0
15,748,2.5
15,750,4.0
15,785,3.0
15,786,0.5
15,913,4.0
15,1060,4.0
15,1073,3.0
15,1079,4.0
15,1084,3.0
15,1089,4.0
15,1092,2.5
15,1093,2.0
15,1094,4.0
15,1097,4.0
15,1101,3.0
15,1120,1.0
15,1127,4.0
15,1131,2.5
15,1198,4.0
15,1204,2.0
15,1209,4.5
15,1211,1.5
15,1221,5.0
15,1228,4.0
15,1231,4.0
15,1240,3.0
15,1247,5.0
15,1248,3.0
15,1249,3.0
15,1262,1.5
15,1265,4.0
15,1272,3.5
15,1297,4.0
15,1303,2.0
15,1307,5.0
15,1333,2.0
15,1380,2.5
15,1385,3.0
15,1393,3.5
15,1464,4.0
15,1466,4.0
15,1476,3.0
15,1479,1.5
15,1544,1.0
15,1552,1.5
15,1556,2.5
15,1625,4.0
15,1673,3.0
15,1682,2.0
15,1704,4.0
15,1719,4.0
15,1721,1.5
15,1722,3.5
15,1752,3.5
15,1784,3.0
15,1810,2.5
15,1845,4.0
15,1876,2.0
15,1950,3.0
15,1954,3.0
15,1956,4.0
15,1961,3.5
15,1962,3.0
15,1994,2.5
15,2010,3.0
15,2011,3.0
15,2012,1.0
15,2041,2.0
15,2060,2.0
15,2108,4.5
15,2124,2.0
15,2126,1.0
15,2134,3.5
15,2145,2.0
15,2186,3.0
15,2273,2.5
15,2278,2.5
15,2288,3.0
15,2302,3.5
15,2303,3.0
15,2329,1.0
15,2351,1.0
15,2355,2.0
15,2360,2.0
15,2405,3.0
15,2413,4.5
15,2424,1.5
15,2427,3.0
15,2447,2.5
15,2505,0.5
15,2528,2.0
15,2542,1.0
15,2571,5.0
15,2574,1.0
15,2581,1.0
15,2585,1.0
15,2600,3.0
15,2617,1.0
15,2683,1.0
15,2686,3.0
15,2692,3.0
15,2706,3.0
15,2707,3.0
15,2722,2.0
15,2761,2.0
15,2795,3.5
15,2819,3.0
15,2840,1.0
15,2915,1.5
15,2947,5.0
15,2949,4.0
15,2959,5.0
15,3082,3.0
15,3083,5.0
15,3089,3.0
15,3128,4.0
15,3129,3.5
15,3134,1.0
15,3147,1.0
15,3148,1.0
15,3150,3.0
15,3176,2.0
15,3219,2.0
15,3225,1.0
15,3246,4.0
15,3253,3.0
15,3255,2.0
15,3261,4.0
15,3273,1.0
15,3298,4.0
15,3307,3.0
15,3390,1.0
15,3418,1.0
15,3421,1.5
15,3476,4.5
15,3484,0.5
15,3499,3.0
15,3527,3.0
15,3534,1.0
15,3538,1.5
15,3552,2.0
15,3566,3.0
15,3571,4.0
15,3577,3.5
15,3578,2.0
15,3626,3.0
15,3633,4.0
15,3683,4.0
15,3735,2.0
15,3742,2.5
15,3751,1.0
15,3794,4.0
15,3800,2.0
15,3823,2.0
15,3911,2.0
15,3967,1.0
15,3987,4.0
15,3998,1.0
15,4017,4.0
15,4020,3.0
15,4037,3.0
15,4052,1.0
15,4055,1.0
15,4144,4.0
15,4158,2.0
15,4168,3.0
15,4235,4.0
15,4262,3.0
15,4299,2.5
15,4306,1.0
15,4381,2.0
15,4388,3.0
15,4410,3.0
15,4451,2.5
15,4658,2.0
15,4675,2.0
15,4744,1.0
15,4890,3.0
15,4903,5.0
15,4974,2.0
15,5015,1.0
15,5074,1.0
15,5171,0.5
15,5266,1.0
15,5279,0.5
15,5291,3.5
15,5400,3.0
15,5418,2.0
15,5445,5.0
15,5463,1.0
15,5481,2.0
15,5500,4.0
15,5524,1.0
15,5617,3.5
15,5618,1.5
15,5662,4.0
15,5809,3.0
15,5872,3.0
15,5878,1.0
15,5903,2.0
15,5909,1.0
15,5968,3.0
15,6025,3.0
15,6037,3.0
15,6155,0.5
15,6157,0.5
15,6180,1.0
15,6188,3.5
15,6287,0.5
15,6296,1.5
15,6373,2.0
15,6377,1.0
15,6380,3.0
15,6440,3.5
15,6442,3.5
15,6547,1.0
15,6620,1.5
15,6875,1.0
15,6975,4.0
15,7010,3.5
15,7147,1.5
15,7199,1.0
15,7254,1.0
15,7325,0.5
15,7361,5.0
15,7371,1.0
15,7438,0.5
15,7458,1.5
15,7487,1.5
15,7569,3.5
15,8368,1.5
15,8636,3.0
15,8665,3.5
15,8970,2.0
16,527,4.0
16,750,4.0
16,1704,5.0
16,2012,4.0
16,2278,3.5
16,2706,5.0
16,2858,4.0
17,6,4.5
17,111,5.0
17,194,4.0
17,293,4.0
17,377,0.5
17,527,4.0
17,714,4.5
17,736,2.5
17,928,4.5
17,1077,4.0
17,1079,2.5
17,1092,4.0
17,1136,5.0
17,1175,4.5
17,1221,5.0
17,1232,5.0
17,1237,5.0
17,1240,3.0
17,1245,4.0
17,1248,5.0
17,1249,2.5
17,1265,4.5
17,1333,2.0
17,1464,5.0
17,1466,4.5
17,1627,4.0
17,1673,4.5
17,1704,4.0
17,1721,0.5
17,1809,3.0
17,2011,4.0
17,2012,4.0
17,2076,5.0
17,2110,3.5
17,2118,4.0
17,2159,2.5
17,2278,3.5
17,2324,4.5
17,2329,4.0
17,2571,5.0
17,2600,5.0
17,2672,3.5
17,2683,3.0
17,2692,4.5
17,2707,3.5
17,2858,4.5
17,2918,3.0
17,2959,5.0
17,3134,5.0
17,3476,4.5
17,3503,4.5
17,3578,4.0
17,3735,4.0
17,3742,4.0
17,4037,4.5
17,4262,5.0
17,4306,3.5
17,4437,5.0
17,4546,4.5
17,4645,4.5
17,5015,4.0
17,5017,5.0
17,5060,0.5
17,5062,5.0
17,5266,3.0
17,5418,3.5
17,5445,4.5
17,5809,2.0
17,5903,3.5
17,5949,4.5
17,6214,3.0
17,6287,1.0
17,6530,5.0
17,6858,2.0
17,6975,3.5
17,7044,2.5
17,7090,4.0
17,7135,4.5
17,7163,2.0
17,7254,4.0
17,7361,4.5
17,7438,4.5
17,7981,5.0
17,8600,4.0
17,8620,3.5
17,8665,3.5
17,8690,3.0
17,8973,3.5
18,6,4.0
18,79,2.0
18,85,4.0
18,376,3.0
18,733,4.0
18,736,2.0
18,748,3.0
18,785,4.0
18,786,4.0
18,852,3.0
19,2,3.0
19,3,3.0
19,6,3.0
19,10,3.0
19,11,3.0
19,14,5.0
19,16,5.0
19,21,3.0
19,47,5.0
19,63,3.0
19,97,4.0
19,110,3.0
19,159,4.0
19,172,1.0
19,194,4.0
19,208,3.0
19,209,2.0
19,269,3.0
19,293,4.0
19,316,3.0
19,326,5.0
19,344,3.0
19,345,3.0
19,346,3.0
19,367,3.0
19,377,3.0
19,445,3.0
19,493,4.0
19,504,3.0
19,520,3.0
19,527,4.0
19,529,3.0
19,534,5.0
19,537,3.0
19,580,1.0
19,586,3.0
19,599,4.0
19,610,4.0
19,724,3.0
19,733,3.0
19,736,3.0
19,748,3.0
19,750,5.0
19,786,3.0
19,891,3.0
19,913,5.0
19,928,5.0
19,954,4.0
19,982,4.0
19,1019,4.0
19,1060,5.0
19,1073,4.0
19,1077,3.0
19,1079,4.0
19,1080,3.0
19,1082,3.0
19,1084,4.0
19,1086,4.0
19,1089,4.0
19,1090,4.0
19,1091,3.0
19,1093,3.0
19,1094,4.0
19,1097,5.0
19,1126,3.0
19,1127,3.0
19,1136,5.0
19,1179,5.0
19,1198,4.0
19,1204,4.0
19,1207,5.0
19,1221,5.0
19,1228,5.0
19,1231,5.0
19,1237,4.0
19,1238,5.0
19,1240,4.0
19,1242,5.0
19,1247,3.0
19,1248,4.0
19,1265,4.0
19,1272,3.0
19,1275,3.0
19,1282,4.0
19,1292,4.0
19,1297,4.0
19,1307,3.0
19,1333,4.0
19,1343,4.0
19,1344,5.0
19,1357,4.0
19,1380,3.0
19,1381,3.0
19,1382,1.0
19,1385,3.0
19,1388,1.0
19,1393,3.0
19,4970,4.0
20,107,3.5
20,110,2.0
20,527,2.5
20,720,5.0
20,736,3.5
20,750,4.0
20,905,3.5
20,1019,3.0
20,1097,1.5
20,1198,4.5
20,1204,4.5
20,1207,4.0
20,1247,1.0
20,1269,4.0
20,1680,5.0
20,2013,3.0
20,2405,4.5
20,2571,4.5
20,3148,0.5
20,3196,0.5
20,3809,2.0
20,5618,3.5
20,6516,4.0
20,8970,2.5
21,10,3.0
21,21,3.0
21,44,3.0
21,47,4.0
21,208,2.0
21,316,3.0
21,344,3.0
21,377,4.0
21,527,5.0
21,551,3.0
21,610,2.0
21,733,3.0
21,913,4.0
21,948,3.0
21,1012,3.0
21,1080,3.0
21,1090,4.0
21,1091,3.0
21,1097,3.0
21,1127,3.0
21,1175,4.0
21,1221,3.0
21,1228,4.0
21,1231,3.0
21,1240,5.0
21,1265,3.0
21,1275,2.0
21,1282,3.0
21,1292,4.0
21,1297,3.0
21,1334,3.0
21,1388,3.0
21,5060,3.0
22,44,2.0
22,47,3.5
22,158,1.0
22,173,1.5
22,208,2.0
22,253,4.5
22,551,5.0
22,586,1.0
22,785,2.5
22,1080,3.5
22,1089,4.0
22,1097,2.5
22,1101,2.0
22,1198,5.0
22,1240,4.0
22,1544,3.0
22,1625,2.0
22,1641,2.0
22,1682,2.5
22,1721,3.0
22,1722,3.5
22,1876,2.0
22,2542,4.5
22,2571,4.5
22,2683,2.5
22,2858,4.0
22,2953,1.0
22,3082,3.5
22,3147,2.5
22,3176,2.5
22,3300,3.0
22,3354,2.5
22,3527,4.0
22,3578,3.0
22,3751,2.0
22,3809,2.0
22,4105,4.0
22,4262,3.5
22,5266,2.5
22,5400,2.5
22,5445,4.5
22,5679,4.0
22,5872,3.5
22,5903,4.0
22,6373,2.0
22,7147,4.0
22,7438,4.5
22,7454,3.0
22,8368,3.5
22,8636,4.5
23,6,3.5
23,11,3.5
23,16,4.0
23,24,3.5
23,47,4.5
23,110,3.5
23,111,5.0
23,172,2.5
23,224,4.0
23,253,3.5
23,265,3.5
23,316,3.5
23,344,2.0
23,345,4.0
23,527,3.5
23,586,3.5
23,750,4.5
23,948,3.5
23,954,5.0
23,971,3.5
23,1077,4.0
23,1084,4.0
23,1097,5.0
23,1101,3.0
23,1136,4.0
23,1175,3.5
23,1185,3.0
23,1188,4.0
23,1198,4.5
23,1204,5.0
23,1211,3.5
23,1221,4.5
23,1228,4.0
23,1232,4.0
23,1237,4.5
23,1240,3.5
23,1247,4.0
23,1262,4.0
23,1265,4.0
23,1269,4.0
23,1272,2.0
23,1277,3.5
23,1307,4.0
23,1333,3.5
23,1380,2.5
23,1393,4.0
23,1464,2.0
23,1544,2.0
23,1556,0.5
23,1682,5.0
23,1792,3.5
23,1873,3.0
23,1950,4.5
23,1954,3.0
23,1956,1.0
23,1959,2.5
23,1961,4.0
23,2010,3.5
23,2011,4.0
23,2022,4.0
23,2126,2.0
23,2181,4.0
23,2273,3.5
23,2278,4.0
23,2313,3.5
23,2324,3.5
23,2329,2.5
23,2351,5.0
